>>> Updated on: 2019-02-21T12:02:02Z <<<
tld,u-label,registry-operator,date-of-contract-signature,application-id,delegation-date
construction,,"Binky Moon, LLC",2013-09-16,1-1403-98045,2013-11-14
consulting,,"Dog Beach, LLC",2013-12-05,1-1406-80949,2014-04-01
contact,,"Top Level Spectrum, Inc.",2015-01-08,1-1279-75341,2015-12-22
contractors,,"Binky Moon, LLC",2013-09-10,1-1408-96304,2013-11-14
cooking,,"Minds + Machines Group Limited",2013-11-21,1-1110-51672,2014-03-31
cookingchannel,,"Lifestyle Domain Holdings, Inc.",2015-07-02,1-1326-51959,2016-06-23
cool,,"Binky Moon, LLC",2013-11-14,1-1409-69124,2014-01-23
corsica,,"Collectivité Territoriale de Corse",2014-09-25,1-937-68428,2015-05-16
country,,"DotCountry LLC",2013-12-19,1-1038-69660,2014-03-31
coupon,,"Amazon Registry Services, Inc.",2015-02-26,1-1315-85731,2016-02-19
coupons,,"Binky Moon, LLC",2015-03-26,1-1413-96740,2015-05-13
courses,,"OPEN UNIVERSITIES AUSTRALIA PTY LTD",2014-12-04,1-1327-45933,2015-02-25
credit,,"Binky Moon, LLC",2014-03-20,1-1410-93823,2014-05-07
creditcard,,"Binky Moon, LLC",2014-03-20,1-1412-63109,2014-04-29
creditunion,,"CUNA Performance Resources, LLC",2015-01-22,1-1130-18309,2015-11-10
cricket,,"dot Cricket Limited",2014-10-09,1-1205-96748,2014-11-17
crown,,"Crown Equipment Corporation",2014-10-24,1-1277-15200,2015-06-19
crs,,"Federated Co-operatives Limited",2014-04-03,1-2046-93306,2014-10-15
cruise,,"Viking River Cruises (Bermuda) Ltd.",2015-12-10,1-1691-43949,2016-11-12
cruises,,"Binky Moon, LLC",2013-12-05,1-1415-46513,2014-02-04
csc,,"Alliance-One Services, Inc.",2014-09-25,1-1674-60067,2015-09-01
cuisinella,,"SCHMIDT GROUPE S.A.S.",2014-04-03,1-1114-58195,2014-07-03
cymru,,"Nominet UK",2014-05-08,1-1105-16488,2014-08-08
cyou,,"Beijing Gamease Age Digital Technology Co., Ltd.",2015-01-22,1-1659-50039,2015-04-03
dabur,,"Dabur India Limited",2014-02-06,1-1804-73491,2015-01-24
dad,,"Charleston Road Registry Inc.",2014-01-23,1-1682-14122,2014-08-30
dance,,"Dog Beach, LLC",2013-10-24,1-1255-69937,2014-01-14
data,,"Dish DBS Corporation",2016-06-02,1-2009-38008,2016-12-20
date,,"dot Date Limited",2014-11-20,1-1247-30301,2015-03-25
dating,,"Binky Moon, LLC",2013-12-05,1-1416-56404,2014-01-25
datsun,,"NISSAN MOTOR CO., LTD.",2014-03-27,1-1023-6629,2015-03-04
day,,"Charleston Road Registry Inc.",2014-01-30,1-1139-19523,2014-08-30
dclk,,"Charleston Road Registry Inc.",2014-11-20,1-1141-22713,2015-01-24
dds,,"Minds + Machines Group Limited",2015-05-07,1-1038-5963,2016-05-11
deal,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-35975,2016-06-07
dealer,,"Intercap Holdings Inc.",2014-12-22,1-993-62521,2015-12-24
deals,,"Binky Moon, LLC",2014-05-22,1-1419-43874,2014-07-10
degree,,"Dog Beach, LLC",2014-03-06,1-1418-57248,2014-05-30
delivery,,"Binky Moon, LLC",2014-09-11,1-1420-57575,2014-11-01
dell,,"Dell Inc.",2014-10-24,1-1094-11981,2015-10-14
deloitte,,"Deloitte Touche Tohmatsu",2015-07-31,1-1944-83205,2016-01-29
delta,,"Delta Air Lines, Inc.",2015-02-19,1-1259-75287,2015-07-11
democrat,,"Dog Beach, LLC",2013-10-24,1-1255-25868,2014-01-14
dental,,"Binky Moon, LLC",2014-03-20,1-1421-91857,2014-04-23
dentist,,"Dog Beach, LLC",2014-03-20,1-1422-97537,2014-05-31
desi,,"Desi Networks LLC",2013-11-14,1-870-27617,2014-04-10
design,,"Top Level Design, LLC",2014-11-07,1-1086-90196,2015-01-24
dev,,"Charleston Road Registry Inc.",2014-10-16,1-1138-73066,2014-12-18
dhl,,"Deutsche Post AG",2015-07-23,1-1075-45896,2016-06-02
diamonds,,"Binky Moon, LLC",2013-09-22,1-1428-32844,2013-11-19
diet,,"Uniregistry, Corp.",2014-06-26,1-845-21294,2014-08-16
digital,,"Binky Moon, LLC",2014-03-06,1-1427-39640,2014-05-07
direct,,"Binky Moon, LLC",2014-04-10,1-1424-94823,2014-07-02
directory,,"Binky Moon, LLC",2013-09-20,1-1432-79618,2013-11-19
discount,,"Binky Moon, LLC",2014-03-06,1-1431-6328,2014-04-23
discover,,"Discover Financial Services",2015-07-23,1-1423-36348,2016-07-28
dish,,"Dish DBS Corporation",2015-07-30,1-1919-18145,2016-08-10
diy,,"Lifestyle Domain Holdings, Inc.",2015-11-05,1-1326-57740,2016-08-25
dnp,,"Dai Nippon Printing Co., Ltd.",2013-12-13,1-948-69611,2014-03-11
docs,,"Charleston Road Registry Inc.",2014-10-16,1-1682-12856,2014-12-18
doctor,,"Binky Moon, LLC",2016-06-02,1-1430-52453,2016-07-21
dodge,,"FCA US LLC.",2015-07-30,1-2054-9171,2016-08-04
dog,,"Binky Moon, LLC",2014-12-04,1-1429-22494,2015-04-29
doha,,"Communications Regulatory Authority (CRA)",2014-09-18,1-1150-50794,2015-03-25
domains,,"Binky Moon, LLC",2013-10-17,1-1433-39728,2013-12-17
dot,,"Dish DBS Corporation",2015-05-21,1-2005-70840,2016-05-18
download,,"dot Support Limited",2014-11-20,1-1210-70457,2015-03-25
drive,,"Charleston Road Registry Inc.",2015-03-05,1-1138-62581,2015-06-20
dtv,,"Dish DBS Corporation",2015-06-04,1-2084-81667,2016-05-27
dubai,,"Dubai Smart Government Department",2015-01-01,1-1838-15469,2016-01-07
duck,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-11973,2016-07-21
dunlop,,"The Goodyear Tire & Rubber Company",2015-07-02,1-1885-14876,2016-06-10
duns,,"The Dun & Bradstreet Corporation",2015-08-06,1-1832-42386,2016-07-23
dupont,,"E. I. du Pont de Nemours and Company",2015-06-25,1-1300-88322,2016-06-10
durban,,"ZA Central Registry NPC trading as ZA Central Registry",2014-03-24,1-1864-63608,2014-06-19
dvag,,"Deutsche Vermögensberatung Aktiengesellschaft DVAG",2014-06-23,1-904-62612,2014-09-27
dvr,,"DISH Technologies L.L.C.",2016-05-26,1-2000-89466,2016-09-30
earth,,"Interlink Co., Ltd.",2014-12-04,1-901-26957,2015-05-14
eat,,"Charleston Road Registry Inc.",2014-01-23,1-1139-37354,2014-08-30
eco,,"Big Room Inc.",2016-07-08,1-912-59314,2016-08-28
edeka,,"EDEKA Verband kaufmännischer Genossenschaften e.V.",2014-12-18,1-1297-3451,2016-01-21
education,,"Binky Moon, LLC",2013-11-07,1-1435-73490,2013-12-28
email,,"Binky Moon, LLC",2013-10-31,1-1438-98374,2014-01-02
emerck,,"Merck KGaA",2014-04-03,1-980-60636,2014-10-22
energy,,"Binky Moon, LLC",2014-09-11,1-1437-42738,2014-11-01
engineer,,"Dog Beach, LLC",2014-03-06,1-1255-37010,2014-06-04
engineering,,"Binky Moon, LLC",2014-03-06,1-1436-74788,2014-04-11
enterprises,,"Binky Moon, LLC",2013-09-20,1-1440-71720,2013-11-19
epson,,"Seiko Epson Corporation",2014-12-04,1-936-24218,2015-03-03
equipment,,"Binky Moon, LLC",2013-08-27,1-1442-68106,2013-11-06
ericsson,,"Telefonaktiebolaget L M Ericsson",2015-07-09,1-1798-68430,2016-06-10
erni,,"ERNI Group Holding AG",2014-04-03,1-949-56474,2015-03-12
esq,,"Charleston Road Registry Inc.",2014-05-08,1-1140-98965,2014-08-29
estate,,"Binky Moon, LLC",2013-08-27,1-1441-44965,2013-11-14
esurance,,"Esurance Insurance Company",2015-07-23,1-1987-61342,2016-07-23
etisalat,,"Emirates Telecommunications Corporation (trading as Etisalat)",2015-09-03,1-1743-35887,2017-06-01
eurovision,,"European Broadcasting Union (EBU)",2014-04-24,1-1083-6576,2014-12-06
eus,,"Puntueus Fundazioa",2013-12-12,1-1293-15788,2014-04-11
events,,"Binky Moon, LLC",2013-12-05,1-1443-27992,2014-02-04
everbank,,"EverBank",2014-05-15,1-2136-22895,2014-11-26
exchange,,"Binky Moon, LLC",2014-03-06,1-1445-68403,2014-04-23
expert,,"Binky Moon, LLC",2013-11-21,1-1444-46322,2014-01-23
exposed,,"Binky Moon, LLC",2013-12-05,1-1446-82057,2014-02-04
express,,"Binky Moon, LLC",2015-02-11,1-1447-46365,2015-04-05
extraspace,,"Extra Space Storage LLC",2015-05-14,1-1688-1352,2016-03-25
fage,,"Fage International S.A.",2014-12-18,1-2125-19961,2015-08-08
fail,,"Binky Moon, LLC",2014-03-06,1-1448-73190,2014-04-23
fairwinds,,"FairWinds Partners, LLC",2014-11-13,1-1173-27755,2015-11-13
faith,,"dot Faith Limited",2014-11-20,1-1228-92789,2015-03-25
family,,"Dog Beach, LLC",2015-04-02,1-1450-96002,2015-08-11
fan,,"Dog Beach, LLC",2014-03-06,1-1449-26710,2015-03-16
fans,,"Fans TLD Limited",2014-11-07,1-1711-46810,2015-02-19
farm,,"Binky Moon, LLC",2013-11-07,1-1451-8324,2013-12-28
